#options: 480x480 fps=16667/1000 timebase=1000/16667 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:12.51 aq:8.71 tex:9355 mv:773 misc:832 imb:0 pmb:298 smb:602 d:- ref:0 ;
in:37 out:35 type:P dur:2 cpbdur:2 q:13.59 aq:4.27 tex:150949 mv:4534 misc:557 imb:185 pmb:618 smb:97 d:- ref:0 ;
in:35 out:36 type:B dur:2 cpbdur:2 q:13.19 aq:7.76 tex:55704 mv:6146 misc:814 imb:47 pmb:469 smb:384 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:13.39 aq:8.26 tex:41979 mv:6416 misc:765 imb:19 pmb:663 smb:218 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:13.59 aq:5.32 tex:126116 mv:4397 misc:463 imb:155 pmb:673 smb:72 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:13.59 aq:7.42 tex:45999 mv:4218 misc:823 imb:15 pmb:629 smb:256 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:13.59 aq:8.34 tex:4271 mv:843 misc:910 imb:0 pmb:286 smb:614 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:13.59 aq:8.59 tex:43930 mv:4921 misc:749 imb:27 pmb:662 smb:211 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:13.76 aq:5.44 tex:138704 mv:4907 misc:581 imb:260 pmb:483 smb:157 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:13.68 aq:6.78 tex:85825 mv:7283 misc:636 imb:64 pmb:596 smb:240 d:- ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:13.64 aq:8.84 tex:42709 mv:5951 misc:716 imb:42 pmb:546 smb:312 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:13.72 aq:8.97 tex:5855 mv:543 misc:946 imb:0 pmb:295 smb:605 d:- ref:0 ;
in:49 out:46 type:P dur:2 cpbdur:2 q:14.02 aq:4.94 tex:159569 mv:5318 misc:529 imb:201 pmb:586 smb:113 d:- ref:0 ;
in:47 out:47 type:B dur:2 cpbdur:2 q:13.89 aq:7.50 tex:73929 mv:7414 misc:673 imb:54 pmb:649 smb:197 d:- ref:0 ;
in:46 out:48 type:b dur:2 cpbdur:2 q:13.82 aq:8.93 tex:42778 mv:5943 misc:703 imb:25 pmb:575 smb:300 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:13.95 aq:9.20 tex:34736 mv:5162 misc:742 imb:13 pmb:566 smb:321 d:- ref:0 ;
in:51 out:50 type:P dur:2 cpbdur:2 q:14.67 aq:5.89 tex:64584 mv:3314 misc:790 imb:19 pmb:592 smb:289 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:14.34 aq:9.63 tex:3635 mv:634 misc:803 imb:0 pmb:226 smb:674 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:14.42 aq:5.41 tex:65156 mv:2871 misc:789 imb:16 pmb:624 smb:260 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:14.45 aq:5.29 tex:65947 mv:2968 misc:789 imb:16 pmb:600 smb:284 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:14.71 aq:5.63 tex:55773 mv:2374 misc:853 imb:3 pmb:563 smb:334 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:14.92 aq:5.76 tex:134549 mv:4804 misc:343 imb:72 pmb:792 smb:36 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:14.82 aq:8.14 tex:44493 mv:4941 misc:622 imb:5 pmb:778 smb:117 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:14.76 aq:9.88 tex:20584 mv:3706 misc:830 imb:3 pmb:642 smb:255 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:14.87 aq:10.03 tex:16698 mv:3421 misc:849 imb:0 pmb:598 smb:302 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:14.98 aq:5.39 tex:62406 mv:2105 misc:785 imb:7 pmb:694 smb:199 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:14.95 aq:6.01 tex:125249 mv:4931 misc:436 imb:91 pmb:742 smb:67 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:14.97 aq:9.27 tex:33198 mv:4706 misc:784 imb:7 pmb:686 smb:207 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:14.97 aq:10.27 tex:3216 mv:791 misc:905 imb:0 pmb:278 smb:622 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:14.96 aq:10.14 tex:27457 mv:4846 misc:817 imb:3 pmb:625 smb:272 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:14.56 aq:5.41 tex:87705 mv:3183 misc:752 imb:21 pmb:690 smb:189 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:14.60 aq:6.55 tex:103182 mv:4337 misc:665 imb:78 pmb:683 smb:139 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:14.58 aq:7.77 tex:45451 mv:4926 misc:807 imb:5 pmb:628 smb:267 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:14.57 aq:10.42 tex:4454 mv:695 misc:827 imb:0 pmb:241 smb:659 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:14.59 aq:10.24 tex:22020 mv:4296 misc:804 imb:2 pmb:569 smb:329 d:- ref:0 ;
in:70 out:69 type:P dur:2 cpbdur:2 q:14.61 aq:8.04 tex:57493 mv:3247 misc:812 imb:28 pmb:574 smb:298 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:14.60 aq:10.31 tex:17432 mv:3382 misc:882 imb:2 pmb:491 smb:407 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:14.43 aq:9.49 tex:15946 mv:681 misc:997 imb:1 pmb:491 smb:408 d:- ref:0 ;
